,Rank,Title,Author,Avg_Rating,Num_Ratings,ISBN,ASIN,Genres,Series,Page_Number,Format
22,23,Divergent,Veronica Roth,4.14,4216029,9780062024039,0062024035,"Genres, Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen","Divergent, #1",487,Paperback
23,24,Memoirs of a Geisha,Arthur Golden,4.16,2062520,9781400096893,1400096898,"Genres, Fiction, Historical Fiction, Romance, Historical, Novels, Asia, Adult Fiction",,503,Mass Market Paperback
24,25,Les Misérables,Victor Hugo,4.21,824467,9780451525260,0451525264,"Genres, Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature",,1463,Mass Market Paperback
25,26,The Alchemist,Paulo Coelho,3.92,3337364,9780061122415,B00A2KBUGQ,"Genres, Fiction, Fantasy, Philosophy, Self Help, Novels, Spirituality, Audiobook",,197,Paperback
26,27,Anne of Green Gables,L.M. Montgomery,4.32,1054161,9780451528827,0451528824,"Genres, Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook","Anne of Green Gables, #1",320,Mass Market Paperback
27,28,Lord of the Flies,William Golding,3.7,3065278,9780140283334,0140283331,"Genres, Fiction, Classics, Young Adult, School, Dystopia, Literature, Read For School",,182,Paperback
28,29,Romeo and Juliet,William Shakespeare,3.74,2725967,9780743477116,0743477111,"Genres, Classics, Plays, Fiction, School, Read For School, Literature, High School",,281,Mass Market Paperback
29,30,The Hitchhiker’s Guide to the Galaxy,Douglas Adams,4.23,1938192,Not found,B0DLST8SW8,"Genres, Science Fiction, Fiction, Humor, Fantasy, Comedy, Audiobook, Science Fiction Fantasy","Hitchhiker's Guide to the Galaxy, #1",216,Mass Market Paperback
30,31,City of Bones,Cassandra Clare,4.07,2098845,9781416914280,1416914285,"Genres, Fantasy, Young Adult, Romance, Paranormal, Urban Fantasy, Fiction, Vampires","The Mortal Instruments, #1",485,Hardcover
31,32,The Help,Kathryn Stockett,4.46,2919452,9780399155345,B009CUIY52,"Genres, Fiction, Historical Fiction, Historical, Adult Fiction, Contemporary, Audiobook, Book Club",,464,Hardcover
32,33,Dracula,Bram Stoker,4.02,1382011,9780393970128,0393970124,"Genres, Horror, Fiction, Fantasy, Gothic, Paranormal, Literature, Vampires",,488,Paperback
33,34,Charlotte’s Web,E.B. White,4.2,1956918,9780064410939,0064410935,"Genres, Fiction, Childrens, Classics, Fantasy, Young Adult, Middle Grade, Animals",,184,Paperback
34,35,Ender’s Game,Orson Scott Card,4.31,1431622,9780812550702,0812550706,"Genres, Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Dystopia","Ender's Saga, #1",324,Mass Market Paperback
35,36,Fahrenheit 451,Ray Bradbury,3.97,2635692,Not found,B0064CPN7I,"Genres, Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook",,194,Kindle Edition
36,37,Of Mice and Men,John Steinbeck,3.89,2700572,9780142000670,0142000671,"Genres, Fiction, School, Historical Fiction, Literature, Read For School, Novels, High School",,107,Paperback
37,38,Brave New World,Aldous Huxley,3.99,1971576,9780060929879,0060929871,"Genres, Fiction, Science Fiction, Dystopia, Literature, Novels, School, Audiobook",,268,Paperback
38,39,The Catcher in the Rye,J.D. Salinger,3.8,3734101,9780316769174,0316769177,"Genres, Classics, Fiction, Young Adult, Literature, School, Coming Of Age, Novels",,277,Paperback
39,40,One hundred years of solitude,Gabriel García Márquez,4.12,1044089,Not found,B0DLT3N34W,"Genres, Fiction, Magical Realism, Fantasy, Literature, Historical Fiction, Novels, Spanish Literature",,417,Mass Market Paperback
40,41,A Thousand Splendid Suns,Khaled Hosseini,4.45,1641637,9781594489501,B002FVPH5A,"Genres, Fiction, Historical Fiction, Historical, Classics, Novels, War, Literary Fiction",,372,Hardcover
41,42,1984,George Orwell,4.2,5063788,Not found,B0DWTVHT8T,"Genres, Classics, Fiction, Science Fiction, Dystopia, Literature, Politics, Novels",,298,ebook
42,43,Little Women,Louisa May Alcott,4.16,2349811,Not found,0451529308,"Genres, Fiction, Historical Fiction, Young Adult, Romance, Historical, Literature, Audiobook","Little Women, #1",449,Mass Market Paperback
43,44,The Outsiders,S.E. Hinton,4.14,1487514,9780670532575,0670532576,"Genres, Classics, Young Adult, Fiction, School, Read For School, Coming Of Age, Realistic Fiction",,208,Mass Market Paperback
44,45,The Princess Bride,William Goldman,4.27,925418,9780345418265,0345418263,"Genres, Fantasy, Fiction, Romance, Humor, Adventure, Young Adult, Classics",,429,Paperback
45,46,The Secret Garden,Frances Hodgson Burnett,4.16,1238963,9780517189603,0517189607,"Genres, Fiction, Classics, Childrens, Young Adult, Historical Fiction, Middle Grade, Audiobook",,331,Hardcover
46,47,The Time Traveler's Wife,Audrey Niffenegger,,1830878,9781939126016,1939126010,"Genres, Fiction, Romance, Fantasy, Time Travel, Science Fiction, Contemporary, Chick Lit",,537,ebook
47,48,A Game of Thrones,George R.R. Martin,4.45,2631401,9780553588484,0553588486,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Science Fiction Fantasy, Adventure","A Song of Ice and Fire, #1",835,Mass Market Paperback
48,49,Harry Potter and the Sorcerer’s Stone,J.K. Rowling,4.47,10831938,Not found,B07SBCZ16W,"Genres, Fantasy, Fiction, Young Adult, Magic, Childrens, Middle Grade, Audiobook","Harry Potter, #1",333,Kindle Edition
49,50,Harry Potter and the Deathly Hallows,J.K. Rowling,4.62,3940022,Not found,0545010225,"Genres, Young Adult, Fiction, Magic, Childrens, Audiobook, Adventure, Middle Grade","Harry Potter, #7",759,Hardcover
50,51,A Wrinkle in Time,Madeleine L'Engle,3.98,1246378,9781250153272,1250153271,"Genres, Fantasy, Fiction, Classics, Young Adult, Science Fiction, Childrens, Middle Grade","Time Quintet, #1",218,Paperback
51,52,The Odyssey,Homer,3.82,1136887,9780143039952,0143039954,"Genres, Fiction, Poetry, Mythology, Fantasy, School, Literature, Adventure",,541,Paperback
52,53,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.88,1728881,9780143131847,0143131842,"Genres, Horror, Fiction, Science Fiction, Gothic, Fantasy, School, Literature",,260,Paperback
53,54,The Kite Runner,Khaled Hosseini,4.35,3336334,9781594631931,159463193X,"Genres, Fiction, Historical Fiction, Contemporary, Novels, Historical, School, Literature",,371,Paperback
54,55,The Giver,Lois Lowry,4.12,2674765,9780385732550,0385732554,"Genres, Young Adult, Fiction, Classics, Dystopia, Science Fiction, Fantasy, School","The Giver, #1",208,Paperback
55,56,The Handmaid’s Tale,Margaret Atwood,4.15,2236448,9780385490818,038549081X,"Genres, Fiction, Classics, Dystopia, Science Fiction, Feminism, Fantasy, Audiobook","The Handmaid's Tale, #1",311,Paperback
56,57,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,4.58,4563162,9780439655484,043965548X,"Genres, Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade","Harry Potter, #3",435,Mass Market Paperback
57,58,Where the Wild Things Are,Maurice Sendak,4.25,1034305,9780099408390,B00BG704OS,"Genres, Picture Books, Childrens, Fiction, Classics, Fantasy, Adventure, Young Adult",,38,Paperback
58,59,The Lovely Bones,Alice Sebold,3.86,2421669,9780316166683,0316166685,"Genres, Fiction, Mystery, Young Adult, Contemporary, Fantasy, Thriller, Crime",,372,Mass Market Paperback
59,60,Green Eggs and Ham,Dr. Seuss,4.31,817071,9780394800165,B00297Y0JO,"Genres, Childrens, Picture Books, Classics, Fiction, Poetry, Fantasy, Humor",,64,Hardcover
60,61,The Adventures of Huckleberry Finn,Mark Twain,3.83,1303886,9780142437179,0142437174,"Genres, Fiction, Classics, Historical Fiction, Literature, Adventure, Young Adult, School",,327,Paperback
61,62,Dune,Frank Herbert,4.28,1527514,9780593099322,059309932X,"Genres, Science Fiction, Fantasy, Audiobook, Science Fiction Fantasy, Classics, Novels, Adventure","Dune, #1",658,Hardcover
62,63,Life of Pi,Yann Martel,3.94,1700609,9780770430078,0770430074,"Genres, Fiction, Fantasy, Classics, Adventure, Magical Realism, Novels, Literature",,460,Paperback
63,64,A Tale of Two Cities,Charles Dickens,3.87,986135,9780141439600,0141439602,"Genres, Classics, Fiction, Historical Fiction, Literature, Historical, Novels, School",,489,Paperback
64,65,Lolita,Vladimir Nabokov,3.87,899617,9780679723165,0679723161,"Genres, Fiction, Literature, Russia, Novels, Romance, Russian Literature, Literary Fiction",,368,Paperback
65,66,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1427939,Not found,Not found,"Genres, Fiction, Science Fiction, Classics, Historical Fiction, War, Literature, Novels",,275,Paperback
66,67,Water for Elephants,Sara Gruen,4.11,1666323,9781565125605,1565125606,"Genres, Fiction, Historical Fiction, Romance, Historical, Adult Fiction, Contemporary, Audiobook",,368,Paperback
67,68,The Bell Jar,Sylvia Plath,4.06,1100469,9780571268863,0571268862,"Genres, Fiction, Feminism, Mental Health, Psychology, Literature, Literary Fiction, Novels",,294,Paperback
68,69,Matilda,Roald Dahl,4.33,1038199,9780435123987,043512398X,"Genres, Fiction, Childrens, Classics, Fantasy, Middle Grade, Young Adult, Humor",,240,Hardcover
69,70,The Stand,Stephen King,4.35,800956,Not found,Not found,"Genres, Horror, Fiction, Fantasy, Science Fiction, Post Apocalyptic, Thriller, Dystopia",,1152,Hardcover
70,71,Catch-22,Joseph Heller,3.99,861661,9780684833392,0684833395,"Genres, Classics, Fiction, Historical Fiction, War, Humor, Literature, Novels",,453,Paperback
71,72,The Girl With the Dragon Tattoo,Stieg Larsson,4.17,3332725,9780670069019,0670069019,"Genres, Fiction, Mystery, Thriller, Crime, Mystery Thriller, Suspense, Contemporary",Millennium #1,480,Hardcover
72,73,The Adventures of Sherlock Holmes,Arthur Conan Doyle,4.3,316038,Not found,Not found,"Genres, Mystery, Fiction, Short Stories, Crime, Classics, Audiobook, Mystery Thriller","Sherlock Holmes, #3",389,Paperback
73,74,The Pillars of the Earth,Ken Follett,4.34,797476,9780451222138,045122213X,"Genres, Historical Fiction, Fiction, Historical, Fantasy, Classics, Audiobook, Medieval","Kingsbridge, #1",976,Paperback
74,75,Watership Down,Richard Adams,4.09,494130,9780380395866,038039586X,"Genres, Classics, Fiction, Fantasy, Young Adult, Animals, Adventure, Childrens","Watership Down, #1",478,Mass Market Paperback
75,76,Rebecca,Daphne du Maurier,4.25,678317,9780316323703,B00HG5I1TE,"Genres, Fiction, Mystery, Gothic, Romance, Classics, Historical Fiction, Thriller",,449,Kindle Edition
76,77,Great Expectations,Charles Dickens,3.8,844988,9780192833594,0192833596,"Genres, Classics, Fiction, Literature, Historical Fiction, School, Novels, Classic Literature",,544,Paperback
77,78,The Color Purple,Alice Walker,4.27,724773,9780143135692,0143135694,"Genres, Fiction, Historical Fiction, Feminism, LGBT, Historical, Queer, Banned Books",,287,Paperback
78,79,Outlander,Diana Gabaldon,4.26,1116518,9780440242949,0440242940,"Genres, Historical Fiction, Romance, Fantasy, Fiction, Time Travel, Historical, Historical Romance","Outlander, #1",850,Mass Market Paperback
79,80,Anna Karenina,Leo Tolstoy,4.1,889947,9780345803924,0345803922,"Genres, Fiction, Romance, Russia, Historical Fiction, Literature, Russian Literature, Novels",,964,Paperback
80,81,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,758365,Not found,B0072Q4CYA,"Genres, Fiction, Classics, Psychology, Literature, Novels, Mental Health, School",,325,Mass Market Paperback
81,82,The Fellowship of the Ring,J.R.R. Tolkien,4.4,2982464,Not found,B0DT42KYKH,"Genres, Fantasy, Classics, Fiction, Adventure, Audiobook, High Fantasy, Science Fiction Fantasy","The Lord of the Rings, #1",432,Kindle Edition
82,83,My Sister’s Keeper,Jodi Picoult,4.1,1254269,9780743454537,0743454537,"Genres, Fiction, Chick Lit, Young Adult, Drama, Adult Fiction, Realistic Fiction, Contemporary",,423,Paperback
83,84,The Brothers Karamazov,Fyodor Dostoevsky,4.38,358572,9780374528379,0374528373,"Genres, Fiction, Russia, Classics, Russian Literature, Literature, Philosophy, Novels",,796,Paperback
84,85,A Tree Grows in Brooklyn,Betty Smith,4.3,489023,9780061120077,0061120073,"Genres, Fiction, Historical Fiction, Classics, Young Adult, Coming Of Age, Historical, New York",,496,Paperback
85,86,A Clockwork Orange,Anthony Burgess,,743872,9780393341768,0393341763,"Genres, Fiction, Science Fiction, Dystopia, Horror, Literature, Novels, Banned Books",,240,Paperback
86,87,To Kill a Mockingbird,Harper Lee,4.26,6564282,Not found,B0DSZNXDQ6,"Genres, Fiction, Historical Fiction, School, Literature, Young Adult, Historical, Read For School",,323,Paperback
87,88,The Road,Cormac McCarthy,3.99,974995,9780307265432,0307265439,"Genres, Fiction, Science Fiction, Dystopia, Post Apocalyptic, Horror, Literature, Novels",,241,Hardcover
88,89,The Golden Compass,Philip Pullman,4.03,1578839,9780679879244,B001NAR73E,"Genres, Fantasy, Young Adult, Fiction, Childrens, Adventure, Middle Grade, Audiobook","His Dark Materials, #1",399,Hardcover
89,90,Vampire Academy,Richelle Mead,4.11,667681,9781595141743,159514174X,"Genres, Fantasy, Young Adult, Vampires, Paranormal, Romance, Urban Fantasy, Fiction","Vampire Academy, #1",332,Paperback
90,91,Siddhartha,Hermann Hesse,4.08,827447,Not found,B008YEAALS,"Genres, Fiction, Philosophy, Spirituality, Literature, Classics, Buddhism, German Literature",,152,Mass Market Paperback
91,92,Angela’s Ashes,Frank McCourt,4.15,645632,9780007205233,0007205236,"Genres, Nonfiction, Memoir, Biography, Classics, Ireland, Autobiography, Biography Memoir","Frank McCourt, #1",452,Paperback
92,93,Don Quixote,Miguel de Cervantes Saavedra,3.9,291322,Not found,0142437239,"Genres, Fiction, Classics, Literature, Spanish Literature, Adventure, Historical Fiction, Novels",,1023,Paperback
93,94,Harry Potter and the Goblet of Fire,J.K. Rowling,4.57,3982835,Not found,B0DV2Y66LK,"Genres, Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade","Harry Potter, #4",752,Hardcover
94,95,The Old Man and the Sea,Ernest Hemingway,3.81,1236234,9780684830490,0684830493,"Genres, Fiction, Literature, Novels, School, American, Adventure, Literary Fiction",,96,Hardcover
95,96,The Poisonwood Bible,Barbara Kingsolver,4.1,769680,9780060786502,0060786507,"Genres, Fiction, Historical Fiction, Africa, Classics, Literary Fiction, Historical, Literature",,546,Paperback
96,97,And Then There Were None,Agatha Christie,4.28,1497601,9780312330873,0312330871,"Genres, Mystery, Fiction, Thriller, Crime, Mystery Thriller, Classics, Audiobook",,264,Paperback
97,98,The Complete Stories and Poems,Edgar Allan Poe,4.4,287738,9780385074070,0385074077,"Genres, Classics, Poetry, Horror, Fiction, Short Stories, Gothic, Mystery",,821,Hardcover
98,99,Atlas Shrugged,Ayn Rand,3.69,399733,9780452011878,0452011876,"Genres, Fiction, Classics, Philosophy, Politics, Literature, Science Fiction, Novels",,1168,Paperback
99,100,Interview with the Vampire,Anne Rice,4.02,624171,9780345476876,0345476875,"Genres, Horror, Fantasy, Fiction, Vampires, Paranormal, Classics, Gothic","The Vampire Chronicles, #1",346,Paperback
100,101,Winnie-the-Pooh,A.A. Milne,4.38,386930,9780525467564,0525467564,"Genres, Childrens, Fiction, Classics, Fantasy, Animals, Audiobook, Middle Grade","Winnie-the-Pooh, #1",161,Hardcover
101,102,The Notebook,Nicholas Sparks,4.16,1784370,Not found,B000Q67J66,"Genres, Romance, Fiction, Chick Lit, Contemporary, Classics, Adult Fiction, Contemporary Romance","The Notebook, #1",227,Kindle Edition
102,103,Harry Potter and the Half-Blood Prince,J.K. Rowling,4.58,3495490,Not found,Not found,"Genres, Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Adventure","Harry Potter, #6",672,Hardcover
103,104,Fahrenheit 451,Ray Bradbury,3.97,2635709,9780307347978,0307347974,"Genres, Fiction, Science Fiction, Dystopia, School, Literature, Novels, Audiobook",,158,Mass Market Paperback
104,105,The Shining,Stephen King,4.28,1615787,9780450040184,0450040186,"Genres, Horror, Fiction, Thriller, Classics, Fantasy, Paranormal, Mystery","The Shining, #1",497,Paperback
105,106,"Moby-Dick or, The Whale",Herman Melville,3.56,593435,9780142437247,0142437247,"Genres, Fiction, Literature, Adventure, Historical Fiction, Novels, American, 19th Century",,720,Paperback
106,107,A Prayer for Owen Meany,John Irving,4.24,329220,9780552135399,0552135399,"Genres, Fiction, Classics, Contemporary, Literature, Literary Fiction, Historical Fiction, Novels",,637,Paperback
107,108,The Stranger,Albert Camus,4.03,1258313,Not found,B01181UBSU,"Genres, Classics, Fiction, Philosophy, France, Literature, Novels, French Literature",,123,Paperback
108,109,Clockwork Angel,Cassandra Clare,4.31,857912,9781416975861,1416975861,"Genres, Fantasy, Young Adult, Romance, Paranormal, Steampunk, Historical Fiction, Fiction","The Infernal Devices, #1",479,Hardcover
109,110,Harry Potter and the Chamber of Secrets,J.K. Rowling,4.43,4253686,Not found,B00ES27LCQ,"Genres, Fantasy, Fiction, Young Adult, Magic, Childrens, Audiobook, Middle Grade","Harry Potter, #2",352,Hardcover
110,111,The Secret Life of Bees,Sue Monk Kidd,4.1,1326085,9780142001745,0142001740,"Genres, Fiction, Historical Fiction, Classics, Young Adult, Historical, Contemporary, Coming Of Age",,302,Paperback
111,112,It,Stephen King,4.24,1202429,9780450411434,0450411435,"Genres, Horror, Fiction, Thriller, Fantasy, Classics, Audiobook, Mystery",,1184,Paperback
112,113,"The Hobbit, or There and Back Again",J.R.R. Tolkien,4.29,4270183,Not found,B0DN8P5BQF,"Genres, Fantasy, Fiction, Classics, Adventure, Young Adult, High Fantasy, Audiobook",,366,Paperback
113,114,The Red Tent,Anita Diamant,4.2,617456,9780312353766,0312353766,"Genres, Historical Fiction, Fiction, Historical, Religion, Book Club, Feminism, Womens",,324,Hardcover
114,115,The Name of the Wind,Patrick Rothfuss,4.52,1030105,9780756404079,075640407X,"Genres, Fantasy, Fiction, Epic Fantasy, High Fantasy, Audiobook, Magic, Science Fiction Fantasy","The Kingkiller Chronicle, #1",662,Hardcover
115,116,The Metamorphosis,Franz Kafka,3.89,1279010,9780553213690,0553213695,"Genres, Classics, Fiction, Fantasy, Philosophy, Short Stories, Literature, School",,201,Mass Market Paperback
116,117,The Master and Margarita,Mikhail Bulgakov,4.29,388621,9780679760801,0679760806,"Genres, Fiction, Russia, Fantasy, Russian Literature, Magical Realism, Literature, Novels",,372,Paperback
117,118,A Story of Yesterday,Sergio Cobo,4.54,15031,Not found,B09F9L2VXP,"Genres, Thriller, Mystery, Spanish Literature, European Literature, Fiction, Magical Realism, Crime",,70,Kindle Edition
118,119,The Count of Monte Cristo,Alexandre Dumas,4.31,967913,9780140449266,0140449264,"Genres, Fiction, Historical Fiction, Adventure, Literature, France, Historical, Audiobook",,1276,Paperback
119,120,Eragon,Christopher Paolini,3.96,1873609,9780375826696,B0042B4JAK,"Genres, Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy",The Inheritance Cycle #1,503,Paperback
120,121,The Last Olympian,Rick Riordan,4.55,1090250,9781423101475,1423101472,"Genres, Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology","Percy Jackson and the Olympians, #5",381,Hardcover
121,122,The Very Hungry Caterpillar,Eric Carle,4.34,531355,9780241003008,B01BITQJP6,"Genres, Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting",,26,Board book
122,123,Looking for Alaska,John Green,3.96,1691145,9781435249158,1435249151,"Genres, Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen",,221,Paperback
123,124,Middlesex,Jeffrey Eugenides,4.04,652075,9780312422158,0312422156,"Genres, Fiction, Historical Fiction, Contemporary, LGBT, Classics, Literary Fiction, Queer",,529,Paperback
124,125,Charlie and the Chocolate Factory,Roald Dahl,4.16,892169,9780142403884,0142403881,"Genres, Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor","Charlie Bucket, #1",176,Paperback
125,126,The Adventures of Tom Sawyer,Mark Twain,3.92,981551,9780143039563,0143039563,"Genres, Fiction, Classics, Adventure, Historical Fiction, Young Adult, Literature, Childrens",,244,Paperback
126,127,"The Lion, the Witch and the Wardrobe",C.S. Lewis,4.24,2988979,Not found,B000QQKTGI,"Genres, Fantasy, Fiction, Young Adult, Childrens, Classics, Middle Grade, Adventure","Chronicles of Narnia, #1",206,Paperback
127,128,The Shadow of the Wind,Carlos Ruiz Zafón,4.3,681193,Not found,0143034901,"Genres, Fiction, Historical Fiction, Mystery, Fantasy, Books About Books, Historical, Spain","The Cemetery of Forgotten Books, #1",487,Paperback
128,129,The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,1545601,9781400032716,1400032717,"Genres, Fiction, Mystery, Young Adult, Classics, Autistic Spectrum Disorder, Novels, Contemporary",,226,Paperback
129,130,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",Mitch Albom,4.19,1119352,Not found,B09WVKQ4G4,"Genres, Nonfiction, Memoir, Biography, Classics, Philosophy, Self Help, Inspirational",,210,Paperback
130,131,The Unbearable Lightness of Being,Milan Kundera,4.11,511212,9780571224388,0571224385,"Genres, Fiction, Philosophy, Literature, Novels, Romance, Czech Literature, Classics",,314,Paperback
131,132,The Name of the Rose,Umberto Eco,4.14,381445,9780156001311,0156001314,"Genres, Fiction, Historical Fiction, Mystery, Historical, Literature, Italy, Crime",,552,Paperback
132,133,Holes,Louis Sachar,4.01,1301313,9780439244190,0439244196,"Genres, Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Realistic Fiction","Holes, #1",272,Paperback
133,134,On the Road,Jack Kerouac,3.61,431012,9780140042597,0140042598,"Genres, Fiction, Travel, Literature, Classics, Novels, American, Adventure",,307,Paperback
134,135,Six of Crows,Leigh Bardugo,4.47,1065200,9781627792127,1627792120,"Genres, Fantasy, Young Adult, Fiction, Young Adult Fantasy, LGBT, Adventure, Magic","Six of Crows, #1",480,Hardcover
135,136,Where the Red Fern Grows,Wilson Rawls,4.12,426836,9780375806810,0375806814,"Genres, Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Animals",,272,Mass Market Paperback
136,137,The Godfather,Mario Puzo,4.39,444913,Not found,Not found,"Genres, Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels","The Godfather, #1",448,Paperback
137,138,Perfume: The Story of a Murderer,Patrick Süskind,4.04,515130,Not found,Not found,"Genres, Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime",,263,Paperback
138,139,In Cold Blood,Truman Capote,4.09,698118,9780679745587,0679745580,"Genres, Nonfiction, True Crime, Crime, Mystery, History, Classics, Thriller",,343,Paperback
139,140,The Scarlet Letter,Nathaniel Hawthorne,3.44,893265,9780142437261,0142437263,"Genres, Fiction, Historical Fiction, School, Literature, High School, Historical, Read For School",,279,Paperback
140,141,American Gods,Neil Gaiman,4.11,969266,Not found,B004YW4L5K,"Genres, Fantasy, Fiction, Mythology, Urban Fantasy, Audiobook, Science Fiction, Science Fiction Fantasy",,635,Kindle Edition
141,142,Fight Club,Chuck Palahniuk,4.18,620755,9780393355949,0393355942,"Genres, Fiction, Classics, Thriller, Novels, Mystery, Literature, Audiobook",,224,Paperback
